City,Country,Date,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Tahe,CN,2020-01-06,52.34,255.25,90,96,0.96
Le Port,FR,2020-01-06,42.87,279.26,76,0,1.14
Ostersund,SE,2020-01-06,63.18,276.48,85,70,5.7
Gualaquiza,EC,2020-01-06,-3.4,290.12,98,51,0.59
Port Blair,IN,2020-01-06,11.67,300.42,80,0,7.02
Geraldton,CA,2020-01-06,49.72,265.15,85,90,1.0
Nanortalik,GL,2020-01-06,60.14,271.2,71,100,13.2
Isangel,VU,2020-01-06,-19.55,298.8,75,76,4.06
Yining,CN,2020-01-06,29.04,291.47,75,67,0.25
Tilichiki,RU,2020-01-06,60.47,250.52,70,83,3.5
San Quintin,PH,2020-01-06,17.54,301.66,53,0,2.29
Cidreira,BR,2020-01-06,-30.17,296.87,84,0,10.35
Mount Isa,AU,2020-01-06,-20.73,310.15,27,76,3.6
Lafiagi,NG,2020-01-06,8.85,295.99,23,49,0.53
Leningradskiy,RU,2020-01-06,69.38,250.3,65,0,1.66
Varkkallai,IN,2020-01-06,8.73,300.15,88,20,1.0
Kruisfontein,ZA,2020-01-06,-34.0,290.4,87,100,1.34
Nikolskoye,RU,2020-01-06,59.7,269.82,85,100,2.0
Dresden,DE,2020-01-06,51.05,277.04,85,75,3.6
Kieta,PG,2020-01-06,-6.22,303.04,67,0,2.73
Benguela,AO,2020-01-06,-12.58,298.13,88,91,1.18
Sitka,US,2020-01-06,37.17,274.82,53,0,2.97
Bone,DE,2020-01-06,51.97,278.15,86,90,3.6
Three Hills,CA,2020-01-06,51.7,269.26,62,90,3.1
Vila Franca do Campo,PT,2020-01-06,37.72,291.15,93,75,6.7
Pervoye Maya,KG,2020-01-06,40.63,274.82,66,100,5.81
Quatre Cocos,MU,2020-01-06,-20.21,297.15,94,40,4.6
Monrovia,LR,2020-01-06,6.33,293.15,88,20,1.5
Altamont,CA,2020-01-06,49.4,269.15,73,1,2.6
Tarifa,ES,2020-01-06,36.01,288.15,81,84,3.6
Freeport,BS,2020-01-06,26.54,292.77,64,1,7.06
Brae,GB,2020-01-06,60.4,283.15,93,100,8.2
Mapiri,BO,2020-01-06,-15.31,292.57,96,100,0.1
Gangavalli,IN,2020-01-06,11.5,296.03,84,17,0.99
Kaitong,CN,2020-01-06,44.81,267.07,89,100,2.52
Aklavik,CA,2020-01-06,68.22,246.15,68,90,1.0
Northam,AU,2020-01-06,-31.65,305.15,17,0,2.6
Russell,US,2020-01-06,38.9,276.15,44,1,2.1
Husavik,CA,2020-01-06,50.56,263.15,84,0,3.48
Moindou,NC,2020-01-06,-21.69,305.15,49,75,5.7
Hasaki,JP,2020-01-06,35.73,283.15,42,20,6.2
Nador,MA,2020-01-06,35.17,287.15,71,90,2.6
Pangkalanbuun,ID,2020-01-06,-2.68,305.0,59,99,1.31
Saint Pete Beach,US,2020-01-06,27.73,286.15,71,40,1.5
Constitucion,MX,2020-01-06,23.99,286.15,22,20,2.6
Kidal,ML,2020-01-06,18.44,284.77,27,0,5.27
Luderitz,NA,2020-01-06,-26.65,290.33,85,0,9.28
Paray-le-Monial,FR,2020-01-06,46.45,272.59,92,8,1.84
Winona,CA,2020-01-06,43.21,273.71,92,90,4.1
Maymyo,MM,2020-01-06,22.03,293.15,88,75,2.6
Maryborough,AU,2020-01-06,-25.54,303.52,46,100,3.78
Ghogha,IN,2020-01-06,21.69,294.26,53,0,6.69
Ostrovnoy,RU,2020-01-06,68.05,262.48,84,94,7.03
Tessalit,ML,2020-01-06,20.2,284.28,28,3,5.49
Cairns,AU,2020-01-06,-16.92,305.37,66,40,3.6
Gwadar,PK,2020-01-06,25.12,296.04,69,64,5.54
Saint-Philippe,CA,2020-01-06,45.36,266.48,66,90,2.6
Kathu,ZA,2020-01-06,-27.7,297.45,15,0,2.43
Narsaq,GL,2020-01-06,60.91,265.15,78,100,1.44
Caceres,CO,2020-01-06,5.53,293.11,96,86,1.16
Fengrun,CN,2020-01-06,39.83,274.82,55,40,1.44
Maceio,BR,2020-01-06,-9.67,297.15,88,100,1.0
Westport,US,2020-01-06,41.14,275.93,50,1,2.1
Verkhniy Landekh,RU,2020-01-06,56.84,266.47,97,80,1.65
Prince Rupert,CA,2020-01-06,54.32,276.15,66,20,3.6
Kambove,CD,2020-01-06,-10.88,290.5,94,100,0.76
Durazno,UY,2020-01-06,-33.38,295.41,63,33,6.14
Samarai,PG,2020-01-06,-10.62,303.65,65,19,3.62
Okhotsk,RU,2020-01-06,59.36,258.36,79,0,4.08
Savannah Bight,HN,2020-01-06,16.45,299.53,77,95,3.7
Ulaanbaatar,MN,2020-01-06,47.92,251.15,83,0,1.0
Jalu,LY,2020-01-06,29.03,283.05,63,0,7.33
Sharjah,AE,2020-01-06,25.36,294.15,77,40,3.6
Mathbaria,BD,2020-01-06,22.29,292.17,55,0,4.06
Kiruna,SE,2020-01-06,67.86,265.15,85,100,2.1
Fort Nelson,CA,2020-01-06,58.81,250.15,69,75,3.6
Kokino,MK,2020-01-06,42.26,275.15,51,75,5.1
Havelock,US,2020-01-06,34.88,277.59,72,1,1.63
Pontianak,ID,2020-01-06,-0.02,301.15,78,75,2.1
Avera,US,2020-01-06,33.19,280.93,75,1,3.34
Wukari,NG,2020-01-06,7.87,292.61,32,100,2.18
Grindavik,IS,2020-01-06,63.84,275.15,100,90,10.3
Leh,IN,2020-01-06,34.16,257.47,79,100,1.65
Bokovskaya,RU,2020-01-06,49.23,274.22,96,100,1.54
Vardo,US,2020-01-06,39.62,273.71,92,1,1.5
Moshi,TZ,2020-01-06,-3.36,295.15,88,20,4.6
Trogir,HR,2020-01-06,43.52,275.15,43,31,4.6
Namatanai,PG,2020-01-06,-3.66,303.06,71,87,4.0
Athabasca,CA,2020-01-06,54.72,269.6,81,100,3.46
Malm,NO,2020-01-06,64.07,280.93,100,90,6.2
Bahir Dar,ET,2020-01-06,11.59,288.28,77,10,1.2
Coquimbo,CL,2020-01-06,-29.95,290.15,72,0,1.0
Kavieng,PG,2020-01-06,-2.57,303.01,69,29,3.64
Malatya,TR,2020-01-06,38.35,272.15,92,75,3.1
Henderson,US,2020-01-06,36.04,284.15,48,1,1.5
Vila Velha,BR,2020-01-06,-3.71,303.15,74,75,3.6
George,MW,2020-01-06,-15.35,293.99,94,81,0.97
Ribeira Grande,PT,2020-01-06,38.52,288.73,93,100,7.47
Polunochnoye,RU,2020-01-06,60.87,263.76,88,2,2.24
Victoria,BN,2020-01-06,5.28,303.15,66,75,1.5
Germersheim,DE,2020-01-06,49.22,275.37,100,90,1.0
Mlandizi,TZ,2020-01-06,-6.71,299.15,88,20,3.1
Diapaga,BF,2020-01-06,12.07,291.1,28,67,3.26
Tongling,CN,2020-01-06,30.93,284.62,93,100,1.5
Binzhou,CN,2020-01-06,37.38,277.59,96,100,2.71
Sioux Lookout,CA,2020-01-06,50.1,266.15,67,90,8.2
Cap Malheureux,MU,2020-01-06,-19.98,297.15,94,40,4.6
Labuhan,ID,2020-01-06,-2.54,304.3,59,100,1.28
Alofi,NU,2020-01-06,-19.06,299.15,100,3,4.1
Turochak,RU,2020-01-06,52.26,261.54,81,0,1.42
San Patricio,PY,2020-01-06,-26.98,299.04,53,0,3.78
Manzanillo,MX,2020-01-06,19.05,298.15,83,5,2.6
Isabela,PH,2020-01-06,10.2,298.81,77,86,6.03
Banjar,ID,2020-01-06,-7.37,303.99,66,81,0.25
Komsomolskiy,RU,2020-01-06,67.55,260.43,94,100,7.59
Bijie,CN,2020-01-06,27.3,278.8,93,100,2.67
Madingou,CG,2020-01-06,-4.17,295.03,96,72,0.49
Fengcheng,CN,2020-01-06,40.45,270.21,85,100,0.85
Tabou,CI,2020-01-06,4.42,293.45,82,0,1.54
Waddan,LY,2020-01-06,29.16,282.87,64,26,7.16
Belyy Yar,RU,2020-01-06,53.6,267.15,73,10,2.0
Benghazi,LY,2020-01-06,32.12,286.26,64,100,12.71
Kimbe,PG,2020-01-06,-5.56,302.92,74,34,2.34
Port Lincoln,AU,2020-01-06,-34.72,293.18,54,2,4.57
Tura,RU,2020-01-06,64.27,261.87,89,100,2.88
Kaihua,CN,2020-01-06,29.14,291.4,74,4,0.67
Oranjemund,ZA,2020-01-06,-28.55,288.15,93,12,2.19
La Palma,CO,2020-01-06,5.36,293.11,96,86,1.16
College,US,2020-01-06,64.86,245.93,67,90,0.79
Hailar,CN,2020-01-06,49.2,264.66,95,100,1.85
Ryotsu,JP,2020-01-06,38.08,281.15,49,100,4.1
Alta Gracia,AR,2020-01-06,-31.66,293.15,72,40,11.8
Ahipara,NZ,2020-01-06,-35.17,295.93,72,3,1.34
Kodiak,US,2020-01-06,39.95,275.93,59,1,2.1
Clyde River,CA,2020-01-06,70.47,234.15,52,1,8.7
Ladario,PT,2020-01-06,40.7,276.48,81,0,0.89
Bhairab Bazar,BD,2020-01-06,24.06,290.15,100,40,3.57
Klaksvik,FO,2020-01-06,62.23,282.15,100,100,8.7
Grand-Lahou,CI,2020-01-06,5.24,300.17,61,0,2.73
Worthington,US,2020-01-06,43.62,270.15,92,1,3.1
Apac,UG,2020-01-06,1.98,292.23,81,71,1.32
Huilong,CN,2020-01-06,31.15,281.99,82,100,1.37
Fortuna,US,2020-01-06,40.6,281.15,87,1,1.5
Borgarnes,IS,2020-01-06,64.54,275.15,80,90,5.1
Bonavista,CA,2020-01-06,48.65,272.27,96,100,17.9
Ous,RU,2020-01-06,60.91,264.14,90,12,2.92
Dicabisagan,PH,2020-01-06,17.08,298.85,72,5,3.77
Napier,NZ,2020-01-06,-39.49,294.26,41,44,4.92
Fayetteville,US,2020-01-06,36.06,278.15,80,1,1.22
Noumea,NC,2020-01-06,-22.28,305.15,49,75,5.7
Half Moon Bay,US,2020-01-06,37.46,285.37,87,20,4.6
Lufilufi,WS,2020-01-06,-13.87,305.15,70,75,5.1
Hanmer Springs,NZ,2020-01-06,-42.52,285.89,38,9,11.43
San Carlos de Bariloche,AR,2020-01-06,-41.13,282.15,57,40,9.3
Lagoa,PT,2020-01-06,37.14,284.15,76,0,4.1
Hirara,JP,2020-01-06,24.8,297.15,60,75,6.2
Narsimhapur,IN,2020-01-06,17.14,293.37,73,39,6.34
Kaitangata,NZ,2020-01-06,-46.28,284.82,65,100,7.6
Barra,GM,2020-01-06,13.49,292.15,45,5,2.6
Maragogi,BR,2020-01-06,-9.01,299.83,78,100,3.85
Milkovo,BG,2020-01-06,41.53,279.26,80,90,4.1
Lincoln,GB,2020-01-06,53.23,281.15,93,0,6.7
Beringovskiy,RU,2020-01-06,63.05,251.88,80,94,7.17
Gambela,ET,2020-01-06,8.25,294.89,60,0,0.84
Uxbridge,CA,2020-01-06,44.11,273.71,92,90,4.1
Polyarnyy,RU,2020-01-06,69.2,254.15,84,100,4.16
Porto Torres,IT,2020-01-06,40.84,276.15,93,0,1.0
Portland,US,2020-01-06,43.66,269.26,58,1,1.5
Tibiri,NE,2020-01-06,13.57,288.35,27,67,5.0
Angoche,MZ,2020-01-06,-16.23,297.79,90,99,1.06
Wilmington,US,2020-01-06,39.75,275.37,59,40,1.5
Ust-Kuyga,RU,2020-01-06,70.0,241.32,88,0,3.61
Susuman,RU,2020-01-06,62.78,247.34,100,95,0.99
Honiara,SB,2020-01-06,-9.43,305.15,79,40,4.6
Pochutla,MX,2020-01-06,15.74,300.15,69,5,3.1
Jiuquan,CN,2020-01-06,39.73,265.29,56,100,1.38
Montrose,GB,2020-01-06,56.71,283.15,81,75,6.2
Dobson,NZ,2020-01-06,-42.45,284.1,64,72,6.49
Pisco,PE,2020-01-06,-13.71,294.15,83,65,7.2
Plettenberg Bay,ZA,2020-01-06,-34.05,292.02,89,99,1.76
Mendi,ET,2020-01-06,9.8,287.14,61,0,0.44
Darab,IR,2020-01-06,28.75,279.26,86,0,1.22
Sayyan,YE,2020-01-06,15.17,284.17,79,0,0.71
Neuquen,AR,2020-01-06,-38.95,292.15,37,0,7.2
Roswell,US,2020-01-06,33.39,282.59,42,1,4.1
Tonaya,MX,2020-01-06,19.79,289.12,36,0,1.54
Srednekolymsk,RU,2020-01-06,67.46,249.34,84,28,1.52
Rundu,NA,2020-01-06,-17.91,291.94,95,100,1.33
Chuy,UY,2020-01-06,-33.69,294.01,85,0,5.29
La Rioja,AR,2020-01-06,-29.41,296.56,47,6,10.74
Rocha,UY,2020-01-06,-34.48,291.22,82,0,4.79
Lasa,CY,2020-01-06,34.92,288.15,82,75,8.7
Bontang,ID,2020-01-06,0.12,300.22,78,100,6.2
Ganzhou,CN,2020-01-06,25.86,296.76,52,61,3.65
Iqaluit,CA,2020-01-06,63.75,246.15,62,90,6.2
Price,US,2020-01-06,39.6,270.37,85,1,3.26
Mirandopolis,BR,2020-01-06,-21.13,295.49,87,4,2.41
Pak Phanang,TH,2020-01-06,8.35,301.15,78,20,1.5
Nogliki,RU,2020-01-06,51.8,269.28,94,100,9.09
Springdale,US,2020-01-06,36.19,278.15,74,1,1.22
Vestmannaeyjar,IS,2020-01-06,63.44,280.81,91,100,12.73
Unity,CA,2020-01-06,52.44,265.37,83,39,6.71
Porto Nacional,BR,2020-01-06,-10.7,297.15,94,75,1.07
Litovko,RU,2020-01-06,49.24,257.51,84,0,0.96
Dali,CN,2020-01-06,34.79,275.32,94,100,1.87
Naliya,IN,2020-01-06,23.26,291.19,40,0,2.56
Kon Tum,VN,2020-01-06,14.36,298.44,50,0,0.66
Svetlaya,RU,2020-01-06,46.54,268.59,55,0,4.89
Boueni,YT,2020-01-06,-12.9,301.15,83,100,2.1
Weyburn,CA,2020-01-06,49.67,265.37,84,0,1.34
Coihaique,CL,2020-01-06,-45.58,284.15,66,75,2.1
Mogadouro,PT,2020-01-06,41.34,274.47,84,0,0.25
Pundaguitan,PH,2020-01-06,6.37,299.63,77,46,3.26
Araouane,ML,2020-01-06,18.9,286.12,22,0,4.64
Osa,RU,2020-01-06,57.28,269.18,94,100,2.62
Sheridan,US,2020-01-06,39.65,273.15,68,1,2.6
Dakar,SN,2020-01-06,14.69,294.15,34,0,5.7
Salalah,OM,2020-01-06,17.01,297.15,78,75,1.5
Dagda,LV,2020-01-06,56.09,271.14,68,100,3.76
Te Anau,NZ,2020-01-06,-45.41,279.56,77,60,5.33
Itoman,JP,2020-01-06,26.12,295.15,56,20,5.1
Panalingaan,PH,2020-01-06,8.78,301.13,73,100,4.59
Martan-Chu,RU,2020-01-06,43.06,269.15,92,75,2.0
Damghan,IR,2020-01-06,36.17,273.58,79,0,1.23
Shingu,JP,2020-01-06,33.72,282.15,39,20,2.1
Nadvoitsy,RU,2020-01-06,63.89,266.52,78,77,4.37
Nome,US,2020-01-06,30.04,289.82,82,1,2.6
Kavaratti,IN,2020-01-06,10.57,301.15,65,20,3.22
Catuday,PH,2020-01-06,16.29,299.26,71,0,6.54
San Cristobal,HN,2020-01-06,14.68,288.12,98,72,2.08
Dickinson,US,2020-01-06,46.88,270.15,68,1,4.6
Praia da Vitoria,PT,2020-01-06,38.73,291.15,82,75,9.02
Nuuk,GL,2020-01-06,64.17,258.15,84,100,11.3
Tigil,RU,2020-01-06,57.8,259.52,73,0,1.14
Pankrushikha,RU,2020-01-06,53.83,262.23,96,94,3.46
Guerrero Negro,MX,2020-01-06,27.97,290.4,50,83,3.2
Tyukhtet,RU,2020-01-06,56.54,266.21,93,98,3.81
Zhigansk,RU,2020-01-06,66.77,248.89,94,99,7.45
Berlevag,NO,2020-01-06,70.86,269.42,75,100,6.77
Naze,NG,2020-01-06,5.43,295.51,67,2,0.37
Derzhavinsk,KZ,2020-01-06,51.1,262.76,95,76,2.74
Kamina,CD,2020-01-06,-8.74,290.58,97,100,1.42
